Match Index,0-60 mph,EPA mileage (combined),Torque,Price,Arbitrary Score,Make,Model,Year,Ranking,Engine Type
864,0.47492163,0.084745763,0.240458015,0.036966499,-0.603013953,Toyota,Sienna,2017,741,Gas
416,0.568965517,0.161016949,0.15394402,0.025830758,-0.604259197,Kia,Optima,2018,742,Gas
1030,0.473354232,0.084745763,0.239185751,0.037853196,-0.604698207,Honda,Pilot,2016,743,Gas
1206,0.55799373,0.13559322,0.139949109,0.009089679,-0.605617407,Volkswagen,Beetle Coupe,2016,744,Gas
793,0.511755486,0.144067797,0.141221374,0.038933467,-0.605820074,Mazda,MAZDA6,2017,745,Gas
702,0.398902821,0.059322034,0.278625954,0.066418974,-0.606889485,Genesis,G80,2017,746,Gas
272,0.45846395,0.110169492,0.234096692,0.063817166,-0.607591396,BMW,X3,2018,747,Gas
410,0.421630094,0.093220339,0.227735369,0.068063318,-0.608117073,Kia,Cadenza,2018,748,Gas
139,0.471003135,0.104195007,0.234096692,0.053274637,-0.608423102,Lexus,NX,2019,749,Gas
1065,0.44200627,0.076271186,0.226463104,0.045011292,-0.608781043,Kia,Sorento,2016,750,Gas
585,0.351880878,0.104195007,0.319338422,0.13437822,-0.60935119,Audi,A7,2017,751,Gas
419,0.579937304,0.169491525,0.057251908,0.003975564,-0.610050379,Kia,Rio,2018,752,Gas
718,0.571316614,0.186440678,0.050890585,0.019513566,-0.610474873,Honda,Fit,2017,753,Gas
897,0.474137931,0.093220339,0.234096692,0.043999709,-0.610516987,Audi,Q5,2016,754,Gas
504,0.590909091,0.186440678,0.041984733,0.007514024,-0.61056751,Nissan,Versa,2018,755,Gas
407,0.423197492,0.050847458,0.236641221,0.038413105,-0.610863809,Jeep,Wrangler JK,2018,756,Gas
747,0.423197492,0.050847458,0.236641221,0.038413105,-0.610863809,Jeep,Wrangler,2017,757,Gas
1060,0.411442006,0.06779661,0.278625954,0.067603318,-0.611281499,Kia,K900,2016,758,Gas
271,0.478056426,0.110169492,0.234096692,0.054971016,-0.611391749,BMW,X2,2018,759,Gas
942,0.401253918,0.059322034,0.243002545,0.057520788,-0.611622345,Cadillac,SRX,2016,760,Gas
188,0.56661442,0.169491525,0.06870229,0.01396651,-0.611918012,Toyota,Corolla,2019,761,Gas
878,0.445924765,0.084745763,0.245547074,0.055025133,-0.612165702,Acura,MDX,2016,762,Gas
93,0.377742947,0.050847458,0.229007634,0.059841602,-0.613302294,Ford,Flex,2019,763,Gas
443,0.471003135,0.101694915,0.234096692,0.052858347,-0.61425822,Lexus,NX,2018,764,Gas
1033,0.532131661,0.127118644,0.10178117,0.008425698,-0.61482901,Hyundai,Elantra,2016,765,Gas
450,0.340125392,0.059322034,0.259541985,0.093113533,-0.615196827,Lincoln,MKX,2018,766,Gas
467,0.425548589,0.104195007,0.094147583,0.042711293,-0.615209746,Mazda,MX-5 Miata RF,2018,767,Gas
661,0.48354232,0.084745763,0.239185751,0.035395007,-0.615241627,Chrysler,Pacifica,2017,768,Gas
493,0.576018809,0.177966102,0.05216285,0.012488682,-0.615931191,Nissan,Kicks,2018,769,Gas
