Index,Price,Make,Model,Year,Passenger Doors,Passenger Capacity,Transmission,Drive type,0-60 mph,EPA mileage (combined),Horsepower,Horsepower RPM,Torque,Torque RPM,Cylinders,Base engine size,Engine type,Transmission,First Gear Ratio,Second Gear Ratio,Third Gear Ratio,Fourth Gear Ratio,Fifth Gear Ratio,Sixth Gear Ratio,Seventh Gear Ratio,Eighth Gear Ratio,Final Drive Axle Ratio,Reverse Ratio,Front Suspension Type,Rear Suspension Type,Front Brakes,Rear Brakes,Front Brake Rotor Diameter,Rear Brake Rotor Diameter,Rear Drum Brake Dimensions,Brake Type,ABS Brakes Type,Front Tire Size,Rear Tire Size,Front Wheel Diameter,Rear Wheel Diameter,Front Wheel Width,Rear Wheel Width,Rear Tire Size,Spare Tire Size,Front Wheel Material,Rear Wheel Material,Spare Wheel Material,TPMS,Curb weight,Fuel tank capacity,Dead Weight Hitch - Max Tongue Weight,Dead Weight Hitch - Max Trailer Weight,Max Trailering Capacity,Weight Distributing Hitch - Max Tongue Weight,Weight Distributing Hitch - Max Trailer Weight,Length,Width,Height,Wheelbase,Front track,Rear track,Ground clearance,Turning circle,Front head room,Front leg room,Front shoulder room,Front hip room,Rear head room,Rear leg room,Rear shoulder room,Rear hip room,3rd Row Head Room,3rd Row Leg Room,3rd Row Shoulder Room,3rd Row Hip Room
401,53550,Jaguar,E-PACE,2018,4,5,Transmission: ZF 9-Speed Automatic,All Wheel Drive,7.01 sec,24 mpg,246 hp,5500,269 ft-lbs.,1200,4,2.00 L,"					Gas",Transmission: ZF 9-Speed Automatic,4.71,2.84,1.91,1.38,1,0.81,0.7,0.58,4.54,3.83,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",13.70 in.,11.80 in.,NA in.,"					ABS Brakes",4-Wheel,P245/45WR20,P245/45WR20,20.00 in.,20.00 in.,8.00 in.,8.00 in.,P245/45WR20,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","4,035 lbs.",18.10 gal.,165 lbs,"1,653 lbs","1,653 lbs",165 lbs,"1,653 lbs",173.00 in.,74.7,64.90 in.,105.60 in.,64.40 in.,64.40 in.,,39.10 ft.,39.20 in.,40.10 in.,56.10 in.,,38.20 in.,35.10 in.,55.80 in.,,,,,
402,46275,Jaguar,F-PACE,2018,4,5,Transmission: 8-Speed ZF Electronic Automatic,All Wheel Drive,8.66 sec,29 mpg,180 hp,4000,318 ft-lbs.,1750,4,2.00 L,"					Gas",Transmission: 8-Speed ZF Electronic Automatic,4.71,3.14,2.11,1.67,1.28,1,0.84,0.67,3.23,3.29,Double Wishbone,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.80 in.,12.80 in.,NA in.,"					ABS Brakes",4-Wheel,P255/55HR19,P255/55HR19,19.00 in.,19.00 in.,8.50 in.,8.50 in.,P255/55HR19,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","3,913 lbs.",15.90 gal.,529 lbs,"5,290 lbs","5,290 lbs",529 lbs,"5,290 lbs",186.30 in.,81.5,65.00 in.,113.10 in.,64.60 in.,65.10 in.,8.40 in.,38.90 ft.,37.80 in.,40.30 in.,57.70 in.,,37.50 in.,37.20 in.,55.80 in.,,,,,
403,63000,Jaguar,F-TYPE,2018,2,2,Transmission: 8-Speed QuickShift ZF Automatic,Rear Wheel Drive,5.61 sec,26 mpg,296 hp,5500,295 ft-lbs.,1500,4,2.00 L,"					Gas",Transmission: 8-Speed QuickShift ZF Automatic,4.71,3.14,2.11,1.67,1.28,1,0.84,0.67,3.55,3.32,Double Wishbone,Double Wishbone,"					Front Disc Brakes","					Rear Disc Brakes",14.00 in.,12.80 in.,NA in.,"					ABS Brakes",4-Wheel,P245/45YR18,P275/40YR18,18.00 in.,18.00 in.,8.50 in.,9.50 in.,P275/40YR18,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","3,405 lbs.",18.50 gal.,,,,,,176.50 in.,75.7,51.50 in.,103.20 in.,62.90 in.,64.90 in.,4.00 in.,35.10 ft.,37.00 in.,42.80 in.,56.50 in.,,,,,,,,,
404,39725,Jaguar,XE,2018,4,5,"Transmission: Electronic 8-Speed ZF Automatic -inc: ZF 8HP45, JaguarDrive Control w/normal, eco, dynamic and rain/ice/snow mode, JaguarDrive Selector rotary gear selector and steering wheel mounted shift paddles",All Wheel Drive,8.07 sec,34 mpg,180 hp,4000,318 ft-lbs.,1750,4,2.00 L,"					Gas","Transmission: Electronic 8-Speed ZF Automatic -inc: ZF 8HP45, JaguarDrive Control w/normal, eco, dynamic and rain/ice/snow mode, JaguarDrive Selector rotary gear selector and steering wheel mounted shift paddles",4.71,3.14,2.11,1.67,1.29,1,0.84,0.67,2.73,3.3,Double Wishbone,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.40 in.,11.80 in.,NA in.,"					ABS Brakes",4-Wheel,P225/50HR17,P225/50HR17,17.00 in.,17.00 in.,7.00 in.,7.00 in.,P225/50HR17,Compact,Aluminum,Aluminum,Aluminum,"					Tire Pressure Monitor","3,560 lbs.",14.80 gal.,,,,,,183.90 in.,72.8,56.10 in.,111.60 in.,62.80 in.,62.90 in.,,36.80 ft.,,,,,,,,,,,,
405,52275,Jaguar,XF,2018,4,5,"Transmission: 8-Speed ZF Automatic -inc: 8HP45, black gearshift change paddles",All Wheel Drive,8.39 sec,34 mpg,180 hp,4000,318 ft-lbs.,1750,4,2.00 L,"					Gas","Transmission: 8-Speed ZF Automatic -inc: 8HP45, black gearshift change paddles",4.71,3.14,2.11,1.67,1.29,1,0.84,0.67,2.73,3.3,Double Wishbone,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.80 in.,12.80 in.,NA in.,"					ABS Brakes",4-Wheel,P245/45HR18,P245/45HR18,18.00 in.,18.00 in.,8.00 in.,8.00 in.,P245/45HR18,Compact,Aluminum,Aluminum,Aluminum,"					Tire Pressure Monitor","3,750 lbs.",17.40 gal.,,,,,,195.20 in.,78.2,57.40 in.,116.50 in.,61.40 in.,61.80 in.,4.10 in.,38.10 ft.,37.10 in.,41.50 in.,56.90 in.,,37.60 in.,36.60 in.,56.40 in.,,,,,
406,78300,Jaguar,XJ,2018,4,5,Transmission: Electronic 8-Speed ZF Automatic -inc: black gearshift change paddles,All Wheel Drive,5.58 sec,20 mpg,340 hp,6500,332 ft-lbs.,3500,6,3.00 L,"					Gas",Transmission: Electronic 8-Speed ZF Automatic -inc: black gearshift change paddles,4.71,3.14,2.11,1.67,1.29,1,0.84,0.67,2.73,3.32,Double Wishbone,Double Wishbone,"					Front Disc Brakes","					Rear Disc Brakes",14.00 in.,12.80 in.,NA in.,"					ABS Brakes",4-Wheel,P245/45HR19,P275/40HR19,19.00 in.,19.00 in.,9.00 in.,10.00 in.,P275/40HR19,Compact,Aluminum,Aluminum,Aluminum,"					Tire Pressure Monitor","4,112 lbs.",21.10 gal.,,,,,,202.00 in.,74.8,57.50 in.,119.40 in.,64.00 in.,63.10 in.,,40.70 ft.,,41.50 in.,,,,38.90 in.,,,,,,
407,25895,Jeep,Cherokee,2018,4,5,Transmission: 9-Speed 948TE Automatic,Four Wheel Drive,8.58 sec,23 mpg,184 hp,6400,171 ft-lbs.,4600,4,2.40 L,"					Gas",Transmission: 9-Speed 948TE Automatic,4.7,2.84,1.91,1.38,1,0.81,0.7,0.58,3.73,3.81,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",13.00 in.,12.60 in.,NA in.,"					ABS Brakes",4-Wheel,P225/65TR17,P225/65TR17,17.00 in.,17.00 in.,7.00 in.,7.00 in.,P225/65TR17,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","3,953 lbs.",15.80 gal.,200 lbs,"2,000 lbs","2,000 lbs",200 lbs,"2,000 lbs",182.00 in.,73.2,66.20 in.,106.30 in.,62.20 in.,61.90 in.,8.20 in.,37.70 ft.,39.40 in.,41.10 in.,57.60 in.,53.80 in.,38.50 in.,40.30 in.,55.10 in.,49.90 in.,,,,
408,24395,Jeep,Compass,2018,4,5,Transmission: 9-Speed 9HP48 Automatic,Four Wheel Drive,7.67 sec,25 mpg,180 hp,6400,175 ft-lbs.,3900,4,2.40 L,"					Gas",Transmission: 9-Speed 9HP48 Automatic,4.7,2.84,1.91,1.38,1,0.81,0.7,0.58,3.83,3.81,Strut,Strut,"					Front Disc Brakes","					Rear Disc Brakes",12.00 in.,11.00 in.,NA in.,"					ABS Brakes",4-Wheel,P225/55HR18,P225/55HR18,18.00 in.,18.00 in.,7.00 in.,7.00 in.,P225/55HR18,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","3,327 lbs.",13.50 gal.,100 lbs,"1,000 lbs","1,000 lbs",100 lbs,"1,000 lbs",173.00 in.,73.8,64.80 in.,103.80 in.,60.70 in.,60.30 in.,8.20 in.,36.30 ft.,39.20 in.,41.80 in.,56.70 in.,54.10 in.,38.50 in.,38.30 in.,55.10 in.,49.20 in.,,,,
409,30895,Jeep,Grand Cherokee,2018,4,5,Transmission: 8-Speed Automatic (850RE),Rear Wheel Drive,6.95 sec,21 mpg,295 hp,6400,260 ft-lbs.,4000,6,3.60 L,"					Gas",Transmission: 8-Speed Automatic (850RE),4.71,3.14,2.11,1.67,1.28,1,0.84,0.67,3.27,3.29,Short And Long Arm,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",13.00 in.,13.00 in.,NA in.,"					ABS Brakes",4-Wheel,P265/50SR20,P265/50SR20,20.00 in.,20.00 in.,8.00 in.,8.00 in.,P265/50SR20,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","4,513 lbs.",24.60 gal.,350 lbs,"3,500 lbs","3,500 lbs",350 lbs,"3,500 lbs",189.80 in.,76.5,69.30 in.,114.80 in.,63.90 in.,64.10 in.,8.60 in.,37.10 ft.,39.90 in.,40.30 in.,58.70 in.,57.00 in.,39.20 in.,38.60 in.,58.00 in.,56.20 in.,,,,
410,23445,Jeep,Renegade,2018,4,5,Transmission: 6-Speed C635 Manual,Four Wheel Drive,7.59 sec,,160 hp,5500,184 ft-lbs.,2500,4,1.40 L,"					Gas",Transmission: 6-Speed C635 Manual,4.15,2.12,1.36,0.98,0.76,0.62,,,4.44,4,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.00 in.,11.00 in.,NA in.,"					ABS Brakes",4-Wheel,P225/55TR18,P225/55TR18,18.00 in.,18.00 in.,8.00 in.,8.00 in.,P225/55TR18,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","3,210 lbs.",12.70 gal.,,,,,,166.60 in.,74.2,66.50 in.,101.20 in.,60.60 in.,60.60 in.,7.90 in.,36.30 ft.,41.10 in.,41.20 in.,55.90 in.,53.10 in.,40.50 in.,35.10 in.,55.10 in.,51.90 in.,,,,
411,37945,Jeep,Wrangler,2018,2,4,Transmission: 6-Speed Manual,Four Wheel Drive,,20 mpg,285 hp,6400,260 ft-lbs.,4800,6,3.60 L,"					Gas",Transmission: 6-Speed Manual,5.13,2.63,1.53,1,0.81,0.72,,,,4.49,Leading Link,Trailing Arm,"					Front Disc Brakes","					Rear Disc Brakes",12.90 in.,13.40 in.,NA in.,"					ABS Brakes",4-Wheel,LT285/70SR17,LT285/70SR17,17.00 in.,17.00 in.,7.50 in.,7.50 in.,LT285/70SR17,Full-Size,Aluminum,Aluminum,Aluminum,"					Tire Pressure Monitor",,17.50 gal.,200 lbs,"2,000 lbs","2,000 lbs",200 lbs,"2,000 lbs",166.80 in.,73.8,73.60 in.,96.80 in.,62.90 in.,62.90 in.,10.80 in.,34.50 ft.,42.60 in.,41.20 in.,55.70 in.,53.90 in.,41.70 in.,35.70 in.,57.70 in.,45.00 in.,,,,
412,30445,Jeep,Wrangler JK,2018,2,4,Transmission: 6-Speed Manual (NSG370),Four Wheel Drive,,18 mpg,285 hp,6400,260 ft-lbs.,4800,6,3.60 L,"					Gas",Transmission: 6-Speed Manual (NSG370),4.46,2.61,1.72,1.25,1,0.8,,,,4.06,Leading Link,Trailing Arm,"					Front Disc Brakes","					Rear Disc Brakes",11.90 in.,11.90 in.,NA in.,"					ABS Brakes",4-Wheel,P255/70SR18,P255/70SR18,18.00 in.,18.00 in.,7.50 in.,7.50 in.,P255/70SR18,Full-Size,Aluminum,Aluminum,Aluminum,"					Tire Pressure Monitor",,18.60 gal.,200 lbs,"2,000 lbs","2,000 lbs",200 lbs,"2,000 lbs",164.30 in.,73.7,72.50 in.,95.40 in.,61.90 in.,61.90 in.,10.30 in.,34.60 ft.,41.30 in.,41.00 in.,55.80 in.,55.60 in.,40.30 in.,35.60 in.,44.70 in.,44.70 in.,,,,
413,34245,Jeep,Wrangler JK Unlimited,2018,4,5,Transmission: 6-Speed Manual (NSG370),Four Wheel Drive,,18 mpg,285 hp,6400,260 ft-lbs.,4800,6,3.60 L,"					Gas",Transmission: 6-Speed Manual (NSG370),4.46,2.61,1.72,1.25,1,0.8,,,,4.06,Leading Link,Trailing Arm,"					Front Disc Brakes","					Rear Disc Brakes",11.90 in.,11.90 in.,NA in.,"					ABS Brakes",4-Wheel,P255/70SR18,P255/70SR18,18.00 in.,18.00 in.,7.50 in.,7.50 in.,P255/70SR18,Full-Size,Aluminum,Aluminum,Aluminum,"					Tire Pressure Monitor",,22.50 gal.,200 lbs,"2,000 lbs","2,000 lbs",200 lbs,"2,000 lbs",184.90 in.,73.7,72.60 in.,116.00 in.,61.90 in.,61.90 in.,10.20 in.,40.80 ft.,41.30 in.,41.00 in.,55.80 in.,55.60 in.,40.40 in.,37.20 in.,56.80 in.,56.70 in.,,,,
414,41445,Jeep,Wrangler Unlimited,2018,4,5,Transmission: 6-Speed Manual,Four Wheel Drive,,19 mpg,285 hp,6400,260 ft-lbs.,4800,6,3.60 L,"					Gas",Transmission: 6-Speed Manual,5.13,2.63,1.53,1,0.81,0.72,,,,4.49,Leading Link,Trailing Arm,"					Front Disc Brakes","					Rear Disc Brakes",12.90 in.,13.40 in.,NA in.,"					ABS Brakes",4-Wheel,LT285/70SR17,LT285/70SR17,17.00 in.,17.00 in.,7.50 in.,7.50 in.,LT285/70SR17,Full-Size,Aluminum,Aluminum,Aluminum,"					Tire Pressure Monitor",,21.50 gal.,350 lbs,"3,500 lbs","3,500 lbs",350 lbs,"3,500 lbs",188.40 in.,73.8,73.60 in.,118.40 in.,62.90 in.,62.90 in.,10.80 in.,40.80 ft.,42.60 in.,41.20 in.,55.70 in.,53.90 in.,41.70 in.,38.30 in.,55.70 in.,56.70 in.,,,,
415,44690,Kia,Cadenza,2018,4,5,"Transmission: 8-Speed Automatic -inc: Sportmatic smart shift and drive,",Front Wheel Drive,6.65 sec,23 mpg,290 hp,6400,253 ft-lbs.,5200,6,3.30 L,"					Gas","Transmission: 8-Speed Automatic -inc: Sportmatic smart shift and drive,",4.81,2.9,1.86,1.42,1.22,1,0.8,0.65,3.32,3.42,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.60 in.,11.80 in.,NA in.,"					ABS Brakes",4-Wheel,P245/40VR19,P245/40VR19,19.00 in.,19.00 in.,8.00 in.,8.00 in.,P245/40VR19,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","3,770 lbs.",18.50 gal.,,,,,,195.70 in.,73.6,57.90 in.,112.40 in.,63.10 in.,63.40 in.,,37.20 ft.,38.50 in.,45.50 in.,58.30 in.,56.50 in.,37.60 in.,37.20 in.,56.50 in.,56.30 in.,,,,
416,16800,Kia,Forte,2018,4,5,Transmission: 6-Speed Manual,Front Wheel Drive,,28 mpg,147 hp,6200,132 ft-lbs.,4500,4,2.00 L,"					Gas",Transmission: 6-Speed Manual,3.31,1.96,1.26,0.98,0.78,0.63,,,4.33,3.58,Strut,Torsion Beam,"					Front Disc Brakes","					Rear Disc Brakes",11.00 in.,10.30 in.,NA in.,"					ABS Brakes",4-Wheel,P195/65HR15,P195/65HR15,15.00 in.,15.00 in.,6.00 in.,6.00 in.,P195/65HR15,NA,Steel,Steel,NA,"					Tire Pressure Monitor",,13.20 gal.,,,,,,179.50 in.,70.1,56.30 in.,106.30 in.,61.50 in.,62.00 in.,5.30 in.,34.80 ft.,39.10 in.,42.20 in.,56.10 in.,53.80 in.,37.30 in.,35.90 in.,54.90 in.,53.10 in.,,,,
417,22200,Kia,Forte5,2018,4,5,Transmission: 6-Speed Automatic -inc: Sportmatic shifting,Front Wheel Drive,,28 mpg,147 hp,6200,132 ft-lbs.,4500,4,2.00 L,"					Gas",Transmission: 6-Speed Automatic -inc: Sportmatic shifting,4.4,2.73,1.83,1.39,1,0.77,,,3.06,3.44,Strut,Torsion Beam,"					Front Disc Brakes","					Rear Disc Brakes",11.00 in.,10.30 in.,NA in.,"					ABS Brakes",4-Wheel,P215/45HR17,P215/45HR17,17.00 in.,17.00 in.,7.00 in.,7.00 in.,P215/45HR17,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor",,13.20 gal.,,,,,,171.30 in.,70.1,57.10 in.,106.30 in.,61.30 in.,61.20 in.,5.50 in.,34.80 ft.,39.40 in.,42.20 in.,56.10 in.,53.80 in.,38.70 in.,35.90 in.,54.90 in.,53.10 in.,,,,
418,50900,Kia,K900,2018,4,5,Transmission: 8-Speed Sportmatic Automatic -inc: Smart Shift and Drive Mode Select system,Rear Wheel Drive,6.52 sec,20 mpg,311 hp,6000,293 ft-lbs.,5000,6,3.80 L,"					Gas",Transmission: 8-Speed Sportmatic Automatic -inc: Smart Shift and Drive Mode Select system,3.67,2.4,1.61,1.19,1,0.83,0.64,0.56,3.91,2.27,Multi-Link,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",13.60 in.,12.40 in.,NA in.,"					ABS Brakes",4-Wheel,P245/50VR18,P245/50VR18,18.00 in.,18.00 in.,7.50 in.,7.50 in.,P245/50VR18,Compact,Aluminum,Aluminum,Aluminum,"					Tire Pressure Monitor","4,376 lbs.",19.80 gal.,,,,,,200.60 in.,74.8,58.50 in.,119.90 in.,63.80 in.,64.10 in.,5.70 in.,37.50 ft.,40.20 in.,45.90 in.,59.10 in.,55.90 in.,37.60 in.,38.20 in.,57.20 in.,55.70 in.,,,,
419,26150,Kia,Niro,2018,4,5,Transmission: 6-Speed Dual Clutch -inc: Sportmatic shifting,Front Wheel Drive,8.97 sec,49 mpg,139 hp,5700,195 ft-lbs.,2400,4,1.60 L,"					Gas",Transmission: 6-Speed Dual Clutch -inc: Sportmatic shifting,,,,,,,,,3.23,,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",11.00 in.,11.20 in.,NA in.,"					ABS Brakes",4-Wheel,P205/60HR16,P205/60HR16,16.00 in.,16.00 in.,7.00 in.,7.00 in.,P205/60HR16,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","3,199 lbs.",11.90 gal.,,,,,,171.50 in.,71.1,60.40 in.,106.30 in.,61.60 in.,62.20 in.,6.30 in.,34.80 ft.,40.10 in.,41.70 in.,56.00 in.,53.70 in.,39.10 in.,37.40 in.,55.20 in.,48.30 in.,,,,
420,31500,Kia,Niro Plug-In Hybrid,2018,4,5,Transmission: 6-Speed Dual Clutch -inc: Sportmatic shifting,Front Wheel Drive,,46 mpg,139 hp,5700,195 ft-lbs.,2400,4,1.60 L,"					Gas",Transmission: 6-Speed Dual Clutch -inc: Sportmatic shifting,4.4,2.73,1.83,1.39,1,0.77,,,3.23,3.44,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",11.00 in.,11.20 in.,NA in.,"					ABS Brakes",4-Wheel,P205/60HR16,P205/60HR16,16.00 in.,16.00 in.,7.00 in.,7.00 in.,P205/60HR16,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor",,11.40 gal.,,,,,,171.50 in.,71.1,60.40 in.,106.30 in.,61.60 in.,62.20 in.,6.30 in.,37.40 ft.,40.10 in.,41.70 in.,56.00 in.,53.70 in.,39.10 in.,37.40 in.,55.20 in.,48.30 in.,,,,
421,24400,Kia,Optima,2018,4,5,Transmission: 7-Speed Automatic,Front Wheel Drive,8.53 sec,31 mpg,178 hp,5500,195 ft-lbs.,1500,4,1.60 L,"					Gas",Transmission: 7-Speed Automatic,3.93,2.32,2.04,1.07,0.82,0.88,0.72,,3.17,5.3,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.00 in.,11.20 in.,NA in.,"					ABS Brakes",4-Wheel,P205/65HR16,P205/65HR16,16.00 in.,16.00 in.,6.50 in.,6.50 in.,P205/65HR16,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","3,224 lbs.",18.50 gal.,,,,,,191.10 in.,73.2,57.70 in.,110.40 in.,63.50 in.,63.80 in.,5.30 in.,,39.80 in.,45.50 in.,58.10 in.,56.00 in.,37.80 in.,35.60 in.,56.40 in.,56.00 in.,,,,
422,30990,Kia,Optima Hybrid,2018,4,5,Transmission: 6-Speed Automatic w/Sportmatic,Front Wheel Drive,8.64 sec,,192 hp,6000,271 ft-lbs.,1770,4,2.00 L,"					Gas",Transmission: 6-Speed Automatic w/Sportmatic,4.64,2.83,1.84,1.39,1,0.77,,,3.32,3.38,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.00 in.,11.20 in.,NA in.,"					ABS Brakes",4-Wheel,P215/55VR17,P215/55VR17,17.00 in.,17.00 in.,7.00 in.,7.00 in.,P215/55VR17,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","3,538 lbs.",15.90 gal.,,,,,,191.10 in.,73.2,57.50 in.,110.40 in.,63.50 in.,63.80 in.,5.10 in.,35.80 ft.,39.80 in.,45.50 in.,58.10 in.,56.00 in.,37.80 in.,35.60 in.,56.40 in.,56.00 in.,,,,
423,35210,Kia,Optima Plug-In Hybrid,2018,4,5,Transmission: 6-Speed Automatic w/Sportmatic,Front Wheel Drive,8.76 sec,40 mpg,202 hp,6000,276 ft-lbs.,2330,4,2.00 L,"					Gas",Transmission: 6-Speed Automatic w/Sportmatic,4.64,2.83,1.84,1.39,1,0.77,,,3.51,3.38,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.00 in.,11.20 in.,NA in.,"					ABS Brakes",4-Wheel,P215/55VR17,P215/55VR17,17.00 in.,17.00 in.,6.50 in.,6.50 in.,P215/55VR17,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","3,788 lbs.",14.50 gal.,,,,,,191.10 in.,73.2,57.50 in.,110.40 in.,63.10 in.,63.30 in.,5.10 in.,35.80 ft.,39.80 in.,45.50 in.,58.10 in.,56.00 in.,37.80 in.,35.60 in.,56.40 in.,56.00 in.,,,,
424,13900,Kia,Rio,2018,4,5,Transmission: 6-Speed Manual,Front Wheel Drive,8.67 sec,32 mpg,130 hp,6300,119 ft-lbs.,4850,4,1.60 L,"					Gas",Transmission: 6-Speed Manual,3.77,2.04,1.29,1.04,0.89,0.77,,,4.06,3.7,Strut,Torsion Beam,"					Front Disc Brakes","					Rear Drum Brakes",11.00 in.,8.00 in.,8 in.,"					ABS Brakes",4-Wheel,P185/65TR15,P185/65TR15,15.00 in.,15.00 in.,5.50 in.,5.50 in.,P185/65TR15,NA,Steel,Steel,NA,"					Tire Pressure Monitor","2,648 lbs.",11.90 gal.,,,,,,172.60 in.,67.9,57.10 in.,101.60 in.,59.80 in.,60.00 in.,5.50 in.,33.50 ft.,38.90 in.,42.10 in.,54.10 in.,52.90 in.,37.40 in.,33.50 in.,53.30 in.,52.40 in.,,,,
425,18700,Kia,Rio 5-door,2018,4,5,Transmission: 6-Speed Automatic,Front Wheel Drive,9.49 sec,32 mpg,130 hp,6300,119 ft-lbs.,4850,4,1.60 L,"					Gas",Transmission: 6-Speed Automatic,4.4,2.73,1.83,1.39,1,0.77,,,3.06,3.44,Strut,Torsion Beam,"					Front Disc Brakes","					Rear Disc Brakes",11.00 in.,10.30 in.,NA in.,"					ABS Brakes",4-Wheel,P185/65TR15,P185/65TR15,15.00 in.,15.00 in.,5.50 in.,5.50 in.,P185/65TR15,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","2,714 lbs.",11.90 gal.,,,,,,160.00 in.,67.9,57.10 in.,101.60 in.,59.80 in.,60.00 in.,5.50 in.,33.50 ft.,38.90 in.,42.10 in.,54.10 in.,52.90 in.,38.00 in.,33.50 in.,53.30 in.,52.40 in.,,,,
426,42000,Kia,Sedona,2018,4,8,Transmission: 6-Speed Automatic w/Sportmatic,Front Wheel Drive,7.97 sec,19 mpg,276 hp,6000,248 ft-lbs.,5200,6,3.30 L,"					Gas",Transmission: 6-Speed Automatic w/Sportmatic,4.25,2.65,1.8,1.39,1,0.77,,,3.04,3.39,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.60 in.,11.90 in.,NA in.,"					ABS Brakes",4-Wheel,P235/55TR19,P235/55TR19,19.00 in.,19.00 in.,7.50 in.,7.50 in.,P235/55TR19,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","4,568 lbs.",21.10 gal.,350 lbs,"3,500 lbs",,350 lbs,"3,500 lbs",201.40 in.,78.1,69.10 in.,120.50 in.,68.30 in.,68.60 in.,6.70 in.,37.70 ft.,39.80 in.,40.90 in.,63.90 in.,59.30 in.,39.40 in.,40.60 in.,63.10 in.,65.80 in.,38.90 in.,34.80 in.,59.40 in.,50.00 in.
427,39200,Kia,Sorento,2018,4,7,Transmission: 6-Speed Automatic w/Sportmatic,Front Wheel Drive,6.91 sec,20 mpg,290 hp,6400,252 ft-lbs.,5300,6,3.30 L,"					Gas",Transmission: 6-Speed Automatic w/Sportmatic,4.65,2.83,1.84,1.39,1,0.77,,,3.04,3.39,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.60 in.,12.00 in.,NA in.,"					ABS Brakes",4-Wheel,P235/55HR19,P235/55HR19,19.00 in.,19.00 in.,7.50 in.,7.50 in.,P235/55HR19,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","3,968 lbs.",18.80 gal.,350 lbs,"3,500 lbs","3,500 lbs",350 lbs,"3,500 lbs",187.40 in.,74.4,66.30 in.,109.40 in.,64.10 in.,64.50 in.,7.30 in.,37.20 ft.,39.50 in.,44.10 in.,59.10 in.,56.70 in.,39.30 in.,39.40 in.,58.00 in.,56.40 in.,36.30 in.,31.70 in.,52.80 in.,41.40 in.
428,17800,Kia,Soul,2018,4,5,"Transmission: 6-Speed Automatic w/Sportmatic -inc: drive mode select (ECO, Normal, Sport), Remote Keyless Entry, Cruise Control w/Steering-Wheel Mounted Controls, Center Console Armrest, storage, Illuminated Ignition Cylinder Ring",Front Wheel Drive,10.08 sec,27 mpg,130 hp,6300,118 ft-lbs.,4850,4,1.60 L,"					Gas","Transmission: 6-Speed Automatic w/Sportmatic -inc: drive mode select (ECO, Normal, Sport), Remote Keyless Entry, Cruise Control w/Steering-Wheel Mounted Controls, Center Console Armrest, storage, Illuminated Ignition Cylinder Ring",4.4,2.73,1.83,1.39,1,0.77,,,3.96,3.44,Strut,Torsion Beam,"					Front Disc Brakes","					Rear Disc Brakes",11.00 in.,10.30 in.,NA in.,"					ABS Brakes",4-Wheel,P205/60HR16,P205/60HR16,16.00 in.,16.00 in.,6.50 in.,6.50 in.,P205/60HR16,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","2,942 lbs.",14.20 gal.,,,,,,163.00 in.,70.9,63.50 in.,101.20 in.,62.00 in.,62.50 in.,5.90 in.,34.80 ft.,39.60 in.,40.90 in.,55.50 in.,53.20 in.,39.50 in.,39.10 in.,54.70 in.,49.30 in.,,,,
