Index,Price,Make,Model,Year,Passenger Doors,Passenger Capacity,Transmission,Drive type,0-60 mph,EPA mileage (combined),Horsepower,Horsepower RPM,Torque,Torque RPM,Cylinders,Base engine size,Engine type,Transmission,First Gear Ratio,Second Gear Ratio,Third Gear Ratio,Fourth Gear Ratio,Fifth Gear Ratio,Sixth Gear Ratio,Seventh Gear Ratio,Eighth Gear Ratio,Final Drive Axle Ratio,Reverse Ratio,Front Suspension Type,Rear Suspension Type,Front Brakes,Rear Brakes,Front Brake Rotor Diameter,Rear Brake Rotor Diameter,Rear Drum Brake Dimensions,Brake Type,ABS Brakes Type,Front Tire Size,Rear Tire Size,Front Wheel Diameter,Rear Wheel Diameter,Front Wheel Width,Rear Wheel Width,Rear Tire Size,Spare Tire Size,Front Wheel Material,Rear Wheel Material,Spare Wheel Material,TPMS,Curb weight,Fuel tank capacity,Dead Weight Hitch - Max Tongue Weight,Dead Weight Hitch - Max Trailer Weight,Max Trailering Capacity,Weight Distributing Hitch - Max Tongue Weight,Weight Distributing Hitch - Max Trailer Weight,Length,Width,Height,Wheelbase,Front track,Rear track,Ground clearance,Turning circle,Front head room,Front leg room,Front shoulder room,Front hip room,Rear head room,Rear leg room,Rear shoulder room,Rear hip room,3rd Row Head Room,3rd Row Leg Room,3rd Row Shoulder Room,3rd Row Hip Room
11,54100,Audi,A6,2019,4,5,Transmission: 7-Speed Stronic,All Wheel Drive,5.0 sec,,335 hp,5000,369 ft-lbs.,1370,6,3.00 L,"					Gas",Transmission: 7-Speed Stronic,3.19,2.19,1.52,1.06,0.74,0.51,0.39,,4.41,2.75,Multi-Link,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",14.80 in.,13.80 in.,NA in.,"					ABS Brakes",4-Wheel,P245/45HR19,P245/45HR19,19.00 in.,19.00 in.,8.00 in.,8.00 in.,P245/45HR19,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor",,,,,,,,194.50 in.,74.3,57.40 in.,115.10 in.,64.20 in.,63.70 in.,,40.00 ft.,,,,,,,,,,,,
12,68000,Audi,A7,2019,4,5,Transmission: 7-Speed Automatic w/S tronic,All Wheel Drive,5.53 sec,25 mpg,335 hp,5000,369 ft-lbs.,1370,6,3.00 L,"					Gas",Transmission: 7-Speed Automatic w/S tronic,3.19,2.19,1.52,1.06,0.74,0.51,0.39,,4.41,2.75,Multi-Link,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",14.80 in.,13.80 in.,NA in.,"					ABS Brakes",4-Wheel,P245/45HR19,P245/45HR19,19.00 in.,19.00 in.,8.00 in.,8.00 in.,P245/45HR19,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","4,001 lbs.",,,,,,,195.60 in.,75.1,56.00 in.,115.20 in.,65.00 in.,64.40 in.,,40.00 ft.,,,,,,,,,,,,
13,83800,Audi,A8 L,2019,4,5,Transmission: 8-Speed Auto w/Tiptronic,All Wheel Drive,5.82 sec,22 mpg,335 hp,5000,369 ft-lbs.,1370,6,3.00 L,"					Gas",Transmission: 8-Speed Auto w/Tiptronic,4.71,3.14,2.11,1.67,1.28,1,0.84,0.67,3.08,3.32,Multi-Link,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",15.00 in.,14.00 in.,NA in.,"					ABS Brakes",4-Wheel,P255/45HR19,P255/45HR19,19.00 in.,19.00 in.,9.00 in.,9.00 in.,P255/45HR19,Compact,Aluminum,Aluminum,Aluminum,"					Tire Pressure Monitor","4,288 lbs.",21.70 gal.,,,,,,208.80 in.,76.6,58.60 in.,123.60 in.,64.80 in.,64.30 in.,,42.30 ft.,41.40 in.,,59.10 in.,62.30 in.,39.20 in.,,57.60 in.,61.10 in.,,,,
14,42950,Audi,Q5,2019,4,5,Transmission: 7-Speed S tronic Dual-Clutch Auto,All Wheel Drive,6.06 sec,24 mpg,252 hp,5000,273 ft-lbs.,1600,4,2.00 L,"					Gas",Transmission: 7-Speed S tronic Dual-Clutch Auto,3.19,2.19,1.52,1.06,0.74,0.51,0.39,,5.3,2.75,Multi-Link,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",13.30 in.,13.00 in.,NA in.,"					ABS Brakes",4-Wheel,P235/55HR19,P235/55HR19,20.00 in.,20.00 in.,8.00 in.,8.00 in.,P235/55HR19,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","4,045 lbs.",18.50 gal.,,,,,,183.60 in.,74.5,65.30 in.,111.00 in.,63.60 in.,63.30 in.,,38.40 ft.,41.70 in.,40.90 in.,57.70 in.,,39.30 in.,37.80 in.,56.50 in.,,,,,
15,53550,Audi,Q7,2019,4,7,Transmission: 8-Speed Automatic w/Tiptronic,All Wheel Drive,7.72 sec,21 mpg,252 hp,5000,273 ft-lbs.,1600,4,2.00 L,"					Gas",Transmission: 8-Speed Automatic w/Tiptronic,4.71,3.14,2.11,1.67,1.28,1,0.84,0.67,3.5,3.32,Double Wishbone,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",14.80 in.,13.80 in.,NA in.,"					ABS Brakes",4-Wheel,P255/60HR18,P255/60HR18,18.00 in.,18.00 in.,8.50 in.,8.50 in.,P255/60HR18,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","4,696 lbs.",22.50 gal.,,,,,,199.60 in.,77.5,68.50 in.,117.90 in.,66.10 in.,66.60 in.,,40.70 ft.,38.40 in.,41.70 in.,59.50 in.,,38.80 in.,38.80 in.,58.50 in.,,35.90 in.,29.20 in.,49.40 in.,
16,67400,Audi,Q8,2019,4,5,Transmission: 8-Speed Automatic w/Tiptronic,All Wheel Drive,5.6 sec,19 mpg,335 hp,5000,369 ft-lbs.,1370,6,3.00 L,"					Gas",Transmission: 8-Speed Automatic w/Tiptronic,4.71,3.14,2.11,1.67,1.28,1,0.84,0.67,,3.32,Double Wishbone,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",14.80 in.,13.80 in.,NA in.,"					ABS Brakes",4-Wheel,P285/40YR22,P285/40YR22,20.00 in.,20.00 in.,9.00 in.,9.00 in.,P285/40YR22,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor",,,,,,,,,,,,,,,,,,,,,,,,,,,
17,56200,Audi,RS 3,2019,4,5,Transmission: S Tronic 7-Speed Automatic,All Wheel Drive,4.46 sec,20 mpg,400 hp,5850,354 ft-lbs.,1700,5,2.50 L,"					Gas",Transmission: S Tronic 7-Speed Automatic,3.56,2.53,1.68,1.02,0.79,0.76,0.64,,4.06,2.79,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",14.60 in.,12.20 in.,NA in.,"					ABS Brakes",4-Wheel,P235/35YR19,P235/35YR19,19.00 in.,19.00 in.,8.00 in.,8.00 in.,P235/35YR19,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","3,593 lbs.",14.50 gal.,,,,,,176.30 in.,70.7,55.00 in.,103.60 in.,61.40 in.,60.20 in.,,36.10 ft.,39.60 in.,41.20 in.,54.80 in.,,36.40 in.,35.10 in.,53.00 in.,,,,,
18,74200,Audi,RS 5 Coupe,2019,2,4,Transmission: 8-Speed Tiptronic Automatic,All Wheel Drive,4.18 sec,21 mpg,444 hp,5700,443 ft-lbs.,1900,6,2.90 L,"					Gas",Transmission: 8-Speed Tiptronic Automatic,5,3.2,2.14,1.72,1.31,1,0.82,0.64,3.2,3.48,Multi-Link,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",13.80 in.,13.00 in.,NA in.,"					ABS Brakes",4-Wheel,P265/35YR19,P265/35YR19,19.00 in.,19.00 in.,9.00 in.,9.00 in.,P265/35YR19,Compact,Forged Aluminum,Forged Aluminum,Steel,"					Tire Pressure Monitor","3,649 lbs.",15.30 gal.,,,,,,185.90 in.,73.3,53.50 in.,108.90 in.,62.90 in.,62.50 in.,,38.40 ft.,39.00 in.,41.30 in.,55.30 in.,,,32.70 in.,50.70 in.,,,,,
19,44500,Audi,S3,2019,4,5,Transmission: S Tronic 7-Speed Automatic,All Wheel Drive,5.50 sec,26 mpg,292 hp,5400,280 ft-lbs.,1900,4,2.00 L,"					Gas",Transmission: S Tronic 7-Speed Automatic,3.56,2.53,1.68,1.02,0.79,0.76,0.64,,4.77,2.79,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",13.40 in.,12.20 in.,NA in.,"					ABS Brakes",4-Wheel,P225/40YR18,P225/40YR18,18.00 in.,18.00 in.,8.00 in.,8.00 in.,P225/40YR18,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","3,462 lbs.",14.50 gal.,,,,,,175.80 in.,70.7,54.80 in.,103.60 in.,61.10 in.,60.10 in.,,36.10 ft.,36.50 in.,41.20 in.,54.80 in.,,36.10 in.,35.10 in.,53.00 in.,,,,,
20,50200,Audi,S4,2019,4,5,Transmission: 8-Speed Automatic Tiptronic,All Wheel Drive,5.16 sec,24 mpg,354 hp,5400,369 ft-lbs.,1370,6,3.00 L,"					Gas",Transmission: 8-Speed Automatic Tiptronic,4.71,3.14,2.11,1.67,1.28,1,0.84,0.67,2.85,3.32,Multi-Link,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",13.80 in.,13.10 in.,NA in.,"					ABS Brakes",4-Wheel,P245/40YR18,P245/40YR18,18.00 in.,18.00 in.,8.50 in.,8.50 in.,P245/40YR18,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","3,858 lbs.",15.30 gal.,,,,,,186.80 in.,72.5,55.30 in.,111.20 in.,61.60 in.,60.90 in.,,38.10 ft.,38.90 in.,41.30 in.,55.90 in.,,37.40 in.,35.70 in.,54.50 in.,,,,,
