,Price,Make,Model,Year,Passenger Doors,Passenger Capacity,Transmission,Drive type,0-60 mph,EPA mileage (combined),Horsepower,Horsepower RPM,Torque,Torque RPM,Cylinders,Base engine size,Engine type,Transmission,First Gear Ratio,Second Gear Ratio,Third Gear Ratio,Fourth Gear Ratio,Fifth Gear Ratio,Sixth Gear Ratio,Seventh Gear Ratio,Eighth Gear Ratio,Final Drive Axle Ratio,Reverse Ratio,Front Suspension Type,Rear Suspension Type,Front Brakes,Rear Brakes,Front Brake Rotor Diameter,Rear Brake Rotor Diameter,Rear Drum Brake Dimensions,Brake Type,ABS Brakes Type,Front Tire Size,Rear Tire Size,Front Wheel Diameter,Rear Wheel Diameter,Front Wheel Width,Rear Wheel Width,Rear Tire Size,Spare Tire Size,Front Wheel Material,Rear Wheel Material,Spare Wheel Material,TPMS,Curb weight,Fuel tank capacity,Dead Weight Hitch - Max Tongue Weight,Dead Weight Hitch - Max Trailer Weight,Max Trailering Capacity,Weight Distributing Hitch - Max Tongue Weight,Weight Distributing Hitch - Max Trailer Weight,Length,Width,Height,Wheelbase,Front track,Rear track,Ground clearance,Turning circle,Front head room,Front leg room,Front shoulder room,Front hip room,Rear head room,Rear leg room,Rear shoulder room,Rear hip room,3rd Row Head Room,3rd Row Leg Room,3rd Row Shoulder Room,3rd Row Hip Room
10,"$150,898 ",Aston Martin,V12 Vantage,2016,2,2,Transmission: 7-Speed Sportshift III ASM,Rear Wheel Drive,3.65 sec,14 mpg,565 hp,"6,750",457 ft-lbs.,"5,750",12,6.00 L,"					Gas",Transmission: 7-Speed Sportshift III ASM,3.29,2.16,1.61,1.27,1.03,0.85,0.7,,3.73,3.29,Double Wishbone,Double Wishbone,"					Front Disc Brakes","					Rear Disc Brakes",15.70 in.,14.20 in.,NA in.,"					ABS Brakes",4-Wheel,P255/35YR19,P295/30YR19,19.00 in.,19.00 in.,9.00 in.,11.00 in.,P295/30YR19,Compact,Forged Aluminum,Forged Aluminum,Aluminum,"					Tire Pressure Monitor","3,671 lbs.",21.10 gal.,,,,,,172.60 in.,73.5,49.20 in.,102.40 in.,62.00 in.,62.60 in.,,37.30 ft.,36.70 in.,42.80 in.,,,,,,,,,,
11,,Aston Martin,V12 Vantage S,2016,,, 7-speed automated manual, Rear wheel drive,3.21 sec,,565 hp,"6,750",457 ft-lbs.,"5,750",12,5.90 L,"					Gas", 7-speed automated manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,671 lbs.",21.10 gal.,,,,,,172.60 in.,73.4,49.20 in.,102.40 in.,,,,38.70 ft.,,,,,,,,,,,,
12,"$95,418 ",Aston Martin,V8 Vantage,2016,2,2,Transmission: 6-Speed Manual,Rear Wheel Drive,4.22 sec,15 mpg,430 hp,"7,300",361 ft-lbs.,"5,000",8,4.70 L,"					Gas",Transmission: 6-Speed Manual,3.15,1.95,1.44,1.15,0.94,0.77,,,3.91,2.38,Double Wishbone,Double Wishbone,"					Front Disc Brakes","					Rear Disc Brakes",15.00 in.,13.00 in.,NA in.,"					ABS Brakes",4-Wheel,P245/40YR19,P285/35YR19,19.00 in.,19.00 in.,8.50 in.,10.00 in.,P285/35YR19,Compact,Aluminum,Aluminum,Aluminum,"					Tire Pressure Monitor","3,726 lbs.",21.10 gal.,,,,,,172.60 in.,73.4,50.00 in.,102.50 in.,62.00 in.,62.60 in.,,37.30 ft.,,42.80 in.,,,,,,,,,,
13,"$245,182 ",Aston Martin,Vanquish,2016,2,2,Transmission: Touchtronic III ZF 8-Speed Automatic,Rear Wheel Drive,3.88 sec,16 mpg,568 hp,"6,650",465 ft-lbs.,"5,500",12,6.00 L,"					Gas",Transmission: Touchtronic III ZF 8-Speed Automatic,4.71,3.14,2.11,1.67,1.28,1,0.84,0.66,2.73,3.32,Double Wishbone,Double Wishbone,"					Front Disc Brakes","					Rear Disc Brakes",15.70 in.,14.20 in.,NA in.,"					ABS Brakes",4-Wheel,P255/35YR20,P305/30YR20,20.00 in.,20.00 in.,8.50 in.,11.00 in.,P305/30YR20,Compact,Aluminum,Aluminum,Aluminum,"					Tire Pressure Monitor","3,999 lbs.",20.60 gal.,,,,,,186.10 in.,75.2,50.90 in.,107.90 in.,,,,41.00 ft.,36.20 in.,42.70 in.,54.80 in.,,,,,,,,,
14,"$29,646 ",Audi,A3,2016,2,4,,Front Wheel Drive,,28 mpg,170 hp,"4,500",200 ft-lbs.,"1,600",4,1.80 L,"					Gas",,3.46,2.05,1.3,0.9,0.91,0.76,,,4.12,3.99,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.30 in.,10.70 in.,NA in.,"					ABS Brakes",4-Wheel,P225/40HR18,P225/40HR18,17.00 in.,17.00 in.,7.50 in.,7.50 in.,P225/40HR18,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","3,396 lbs.",13.20 gal.,,,,,,175.00 in.,,55.50 in.,102.20 in.,61.20 in.,60.10 in.,,,37.40 in.,41.20 in.,54.80 in.,,36.30 in.,31.90 in.,45.70 in.,,,,,
15,"$30,699 ",Audi,A3 e-tron,2016,4,5,Transmission: S Tronic 6-Speed Automatic -inc: additional sport program,Front Wheel Drive,8.40 sec,,204 hp,"5,000",258 ft-lbs.,,4,1.40 L,"					Gas",Transmission: S Tronic 6-Speed Automatic -inc: additional sport program,3.5,2.77,1.85,1.02,1.02,0.84,,,3.75,2.86,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.30 in.,10.70 in.,NA in.,"					ABS Brakes",4-Wheel,P225/45HR17,P225/45HR17,17.00 in.,17.00 in.,7.50 in.,7.50 in.,P225/45HR17,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","3,616 lbs.",10.60 gal.,,,,,,169.80 in.,70.3,56.00 in.,103.50 in.,60.70 in.,59.70 in.,,35.80 ft.,38.70 in.,41.20 in.,54.80 in.,,37.50 in.,35.40 in.,53.00 in.,,,,,
16,,Audi,A3 Sportback e-tron,2016,,, 6-speed automated manual, Front wheel drive,,,,,,,4,1.40 L,"					Hybrid", 6-speed automated manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.60 gal.,,,,,,169.80 in.,,56.10 in.,103.50 in.,,,,35.80 ft.,36.90 in.,41.20 in.,54.80 in.,,37.50 in.,35.40 in.,52.90 in.,,,,,
17,"$30,780 ",Audi,A4,2016,4,5,Transmission: 8-Speed Automatic w/Tiptronic -inc: sport program and manual shift mode,All Wheel Drive,6.64 sec,25 mpg,220 hp,"4,450",258 ft-lbs.,"1,500",4,2.00 L,"					Gas",Transmission: 8-Speed Automatic w/Tiptronic -inc: sport program and manual shift mode,4.71,3.14,2.11,1.67,1.28,1,0.84,0.67,2.85,3.32,Multi-Link,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.60 in.,11.80 in.,NA in.,"					ABS Brakes",4-Wheel,P245/40HR18,P245/40HR18,18.00 in.,18.00 in.,8.00 in.,8.00 in.,P245/40HR18,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","3,693 lbs.",16.10 gal.,,,,,,185.10 in.,71.9,56.20 in.,110.60 in.,61.60 in.,61.10 in.,,37.70 ft.,38.00 in.,41.30 in.,55.50 in.,,37.50 in.,35.20 in.,54.30 in.,,,,,
18,"$38,799 ",Audi,A5,2016,2,4,Transmission: 8-Speed Automatic w/Tiptronic -inc: sport program and manual shift mode,All Wheel Drive,7.11 sec,24 mpg,220 hp,"4,450",258 ft-lbs.,"1,500",4,2.00 L,"					Gas",Transmission: 8-Speed Automatic w/Tiptronic -inc: sport program and manual shift mode,4.71,3.14,2.11,1.67,1.28,1,0.84,0.67,2.85,3.32,Multi-Link,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.60 in.,11.80 in.,NA in.,"					ABS Brakes",4-Wheel,P245/40HR18,P245/40HR18,18.00 in.,18.00 in.,8.50 in.,8.50 in.,P245/40HR18,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","4,045 lbs.",16.10 gal.,,,,,,182.10 in.,73,54.40 in.,108.30 in.,62.60 in.,62.10 in.,,37.40 ft.,40.00 in.,41.30 in.,54.30 in.,,36.30 in.,31.90 in.,46.80 in.,,,,,
19,"$37,422 ",Audi,A6,2016,4,5,Transmission: 7-Speed S tronic Automatic -inc: additional Sport program and manual shift mode,Front Wheel Drive,6.93 sec,28 mpg,252 hp,"5,000",273 ft-lbs.,"1,600",4,2.00 L,"					Gas",Transmission: 7-Speed S tronic Automatic -inc: additional Sport program and manual shift mode,3.19,2.19,1.52,1.06,0.74,0.51,0.39,,4.23,2.75,Multi-Link,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",13.60 in.,13.00 in.,NA in.,"					ABS Brakes",4-Wheel,P245/45HR18,P245/45HR18,18.00 in.,18.00 in.,8.00 in.,8.00 in.,P245/45HR18,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","3,803 lbs.",19.80 gal.,,,,,,194.20 in.,73.8,57.80 in.,114.60 in.,64.10 in.,63.70 in.,,39.00 ft.,37.20 in.,41.30 in.,57.50 in.,,37.80 in.,37.40 in.,56.30 in.,,,,,
