,Price,Make,Model,Year,Passenger Doors,Passenger Capacity,Transmission,Drive type,0-60 mph,EPA mileage (combined),Horsepower,Horsepower RPM,Torque,Torque RPM,Cylinders,Base engine size,Engine type,Transmission,First Gear Ratio,Second Gear Ratio,Third Gear Ratio,Fourth Gear Ratio,Fifth Gear Ratio,Sixth Gear Ratio,Seventh Gear Ratio,Eighth Gear Ratio,Final Drive Axle Ratio,Reverse Ratio,Front Suspension Type,Rear Suspension Type,Front Brakes,Rear Brakes,Front Brake Rotor Diameter,Rear Brake Rotor Diameter,Rear Drum Brake Dimensions,Brake Type,ABS Brakes Type,Front Tire Size,Rear Tire Size,Front Wheel Diameter,Rear Wheel Diameter,Front Wheel Width,Rear Wheel Width,Rear Tire Size,Spare Tire Size,Front Wheel Material,Rear Wheel Material,Spare Wheel Material,TPMS,Curb weight,Fuel tank capacity,Dead Weight Hitch - Max Tongue Weight,Dead Weight Hitch - Max Trailer Weight,Max Trailering Capacity,Weight Distributing Hitch - Max Tongue Weight,Weight Distributing Hitch - Max Trailer Weight,Length,Width,Height,Wheelbase,Front track,Rear track,Ground clearance,Turning circle,Front head room,Front leg room,Front shoulder room,Front hip room,Rear head room,Rear leg room,Rear shoulder room,Rear hip room,3rd Row Head Room,3rd Row Leg Room,3rd Row Shoulder Room,3rd Row Hip Room
0,"$29,290 ",Acura,ILX,2017,4,5,Transmission: 8-Speed Dual-Clutch -inc: torque converter and Sequential SportShift paddle shifters,Front Wheel Drive,6.63 sec,29 mpg,201 hp,"6,800",180 ft-lbs.,"3,600",4,2.40 L,"					Gas",Transmission: 8-Speed Dual-Clutch -inc: torque converter and Sequential SportShift paddle shifters,3.08,2.18,1.61,1.22,0.96,0.74,0.62,0.48,3.94,2.22,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.30 in.,11.10 in.,NA in.,"					ABS Brakes",4-Wheel,P215/45VR17,P215/45VR17,17.00 in.,17.00 in.,7.00 in.,7.00 in.,P215/45VR17,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","3,095 lbs.",13.20 gal.,,,,,,181.90 in.,70.6,55.60 in.,105.10 in.,59.40 in.,60.20 in.,,36.80 ft.,38.00 in.,42.30 in.,55.60 in.,50.30 in.,35.90 in.,34.00 in.,53.50 in.,51.70 in.,,,,
1,"$44,050 ",Acura,MDX,2017,4,7,"Transmission: 9-Speed Automatic -inc: Sequential SportShift w/paddle shifters, 3-mode integrated dynamics system, Electronic Gear Selector and hill start assist",Front Wheel Drive,6.96 sec,22 mpg,290 hp,"6,200",267 ft-lbs.,"4,700",6,3.50 L,"					Gas","Transmission: 9-Speed Automatic -inc: Sequential SportShift w/paddle shifters, 3-mode integrated dynamics system, Electronic Gear Selector and hill start assist",4.71,2.84,1.91,1.38,1,0.81,0.7,0.58,4.33,3.83,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.60 in.,13.00 in.,NA in.,"					ABS Brakes",4-Wheel,P245/60HR18,P245/60HR18,18.00 in.,18.00 in.,8.00 in.,8.00 in.,P245/60HR18,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","4,001 lbs.",19.50 gal.,350 lbs,"3,500 lbs","3,500 lbs",350 lbs,"3,500 lbs",196.20 in.,77.8,67.40 in.,111.00 in.,66.30 in.,66.30 in.,5.60 in.,38.70 ft.,38.10 in.,41.40 in.,61.10 in.,57.50 in.,38.30 in.,38.50 in.,59.10 in.,57.80 in.,35.60 in.,28.10 in.,54.70 in.,40.60 in.
2,"$156,000 ",Acura,NSX,2017,2,2,Transmission: 9-Speed Dual-Clutch,All Wheel Drive,3.12 sec,21 mpg,573 hp,"6,500",476 ft-lbs.,,6,3.50 L,"					Gas",Transmission: 9-Speed Dual-Clutch,3.84,2.43,1.78,1.43,1.21,1.04,0.88,0.75,3.58,2.4,Double Wishbone,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",14.50 in.,14.20 in.,NA in.,"					ABS Brakes",4-Wheel,P245/35YR19,P305/30YR20,19.00 in.,20.00 in.,8.50 in.,11.00 in.,P305/30YR20,NA,Forged Aluminum,Forged Aluminum,NA,"					Tire Pressure Monitor","3,803 lbs.",15.60 gal.,,,,,,176.00 in.,87.3,47.80 in.,103.50 in.,65.20 in.,63.70 in.,,39.70 ft.,38.30 in.,42.80 in.,57.60 in.,54.50 in.,,,,,,,,
3,"$38,470 ",Acura,RDX,2017,4,5,Transmission: 6-Speed Automatic -inc: Sequential SportShift paddle shifters and grade logic control,All Wheel Drive,6.23 sec,22 mpg,279 hp,"6,200",252 ft-lbs.,"4,900",6,3.50 L,"					Gas",Transmission: 6-Speed Automatic -inc: Sequential SportShift paddle shifters and grade logic control,3.36,2.09,1.48,1.06,0.75,0.56,,,4.25,2.27,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.30 in.,12.00 in.,NA in.,"					ABS Brakes",4-Wheel,P235/60VR18,P235/60VR18,18.00 in.,18.00 in.,7.50 in.,7.50 in.,P235/60VR18,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","3,907 lbs.",16.00 gal.,150 lbs,"1,500 lbs","1,500 lbs",150 lbs,"1,500 lbs",184.40 in.,73.7,65.00 in.,105.70 in.,63.10 in.,63.40 in.,5.40 in.,38.90 ft.,38.70 in.,42.00 in.,58.70 in.,55.70 in.,38.10 in.,38.30 in.,57.20 in.,53.80 in.,,,,
4,"$54,450 ",Acura,RLX,2017,4,5,Transmission: 6-Speed Automatic -inc: Sequential SportShift paddle shifters,Front Wheel Drive,6.58 sec,23 mpg,310 hp,"6,500",272 ft-lbs.,"4,500",6,3.50 L,"					Gas",Transmission: 6-Speed Automatic -inc: Sequential SportShift paddle shifters,3.38,2.11,1.49,1.06,0.76,0.56,,,4.25,2.26,Double Wishbone,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.30 in.,12.20 in.,NA in.,"					ABS Brakes",4-Wheel,P245/40WR19,P245/40WR19,19.00 in.,19.00 in.,8.00 in.,8.00 in.,P245/40WR19,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","3,969 lbs.",18.50 gal.,,,,,,196.10 in.,74.4,57.70 in.,112.20 in.,64.30 in.,64.20 in.,3.80 in.,40.50 ft.,37.60 in.,42.30 in.,59.60 in.,55.90 in.,36.90 in.,38.80 in.,57.00 in.,54.50 in.,,,,
5,"$42,700 ",Acura,TLX,2017,4,5,Transmission: 9-Speed Automatic w/Paddle Shifters,Front Wheel Drive,6.45 sec,25 mpg,290 hp,"6,200",267 ft-lbs.,"4,500",6,3.50 L,"					Gas",Transmission: 9-Speed Automatic w/Paddle Shifters,4.71,2.84,1.91,1.38,1,0.81,0.7,0.58,3.52,3.83,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.60 in.,12.20 in.,NA in.,"					ABS Brakes",4-Wheel,P225/50VR18,P225/50VR18,18.00 in.,18.00 in.,8.50 in.,8.50 in.,P225/50VR18,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","3,620 lbs.",17.20 gal.,,,,,,190.30 in.,73,57.00 in.,109.30 in.,62.80 in.,63.10 in.,,38.80 ft.,37.20 in.,42.60 in.,57.50 in.,55.30 in.,36.70 in.,34.50 in.,55.40 in.,54.90 in.,,,,
6,"$55,900 ",Alfa Romeo,4C,2017,2,2,,Rear Wheel Drive,,28 mpg,237 hp,"6,000",258 ft-lbs.,"2,200",4,1.70 L,"					Gas",,4.15,2.27,1.44,0.98,0.76,0.62,,,4.12,,Double Wishbone,Strut,"					Front Disc Brakes","					Rear Disc Brakes",12.00 in.,11.50 in.,NA in.,"					ABS Brakes",4-Wheel,P205/45YR17,P235/40YR18,17.00 in.,18.00 in.,7.00 in.,8.00 in.,P235/40YR18,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","2,465 lbs.",10.50 gal.,,,,,,157.00 in.,73.5,46.60 in.,93.70 in.,64.50 in.,63.10 in.,,40.50 ft.,38.00 in.,42.70 in.,49.80 in.,,,,,,,,,
7,"$39,995 ",Alfa Romeo,Giulia,2017,4,5,Transmission: 8-Speed Automatic 8HP50,All Wheel Drive,,26 mpg,280 hp,"5,200",306 ft-lbs.,"2,000",4,2.00 L,"					Gas",Transmission: 8-Speed Automatic 8HP50,5,3.2,2.14,1.72,1.31,1,0.82,0.64,3.15,,Double Wishbone,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",13.00 in.,12.50 in.,NA in.,"					ABS Brakes",4-Wheel,P225/50YR17,P225/50YR17,17.00 in.,17.00 in.,7.50 in.,7.50 in.,P225/50YR17,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor",,15.30 gal.,,,,,,182.50 in.,73.7,56.50 in.,111.00 in.,61.30 in.,63.90 in.,,,38.60 in.,42.40 in.,56.10 in.,,,,,,,,,
8,"$211,995 ",Aston Martin,DB11,2017,2,4,Transmission: 8-Speed Automatic -inc: Rear mid-mounted w/electronic shift-by-wire control system,Rear Wheel Drive,3.78 sec,17 mpg,600 hp,"6,500",516 ft-lbs.,"1,500",12,5.20 L,"					Gas",Transmission: 8-Speed Automatic -inc: Rear mid-mounted w/electronic shift-by-wire control system,4.71,3.14,2.11,1.67,1.28,1,0.84,0.66,2.7,3.32,Double Wishbone,Double Wishbone,"					Front Disc Brakes","					Rear Disc Brakes",15.70 in.,14.20 in.,NA in.,"					ABS Brakes",4-Wheel,P255/40YR20,P295/35YR20,20.00 in.,20.00 in.,9.00 in.,11.00 in.,P295/35YR20,Compact,Aluminum,Aluminum,Aluminum,"					Tire Pressure Monitor","4,080 lbs.",20.50 gal.,,,,,,186.60 in.,76.4,50.40 in.,110.40 in.,,,,,,,,,,,,,,,,
9,"$204,950 ",Aston Martin,Rapide,2017,4,4,Transmission: Touchtronic III 8-Speed Automatic -inc: electronic shift-by-wire control system,Rear Wheel Drive,4.18 sec,17 mpg,565 hp,"6,650",465 ft-lbs.,"5,500",12,6.00 L,"					Gas",Transmission: Touchtronic III 8-Speed Automatic -inc: electronic shift-by-wire control system,4.71,3.14,2.11,1.67,1.28,1,0.84,0.66,2.73,3.32,Double Wishbone,Double Wishbone,"					Front Disc Brakes","					Rear Disc Brakes",15.80 in.,14.20 in.,NA in.,"					ABS Brakes",4-Wheel,P245/40YR20,P295/35YR20,20.00 in.,20.00 in.,8.50 in.,11.00 in.,P295/35YR20,Compact,Forged Aluminum,Forged Aluminum,Aluminum,"					Tire Pressure Monitor","4,387 lbs.",23.90 gal.,,,,,,197.60 in.,75.9,53.50 in.,117.70 in.,62.60 in.,63.50 in.,,41.00 ft.,36.40 in.,42.70 in.,54.80 in.,,,,,,,,,
