Index,Price,Make,Model,Year,Passenger Doors,Passenger Capacity,Transmission,0-60 mph,EPA mileage (combined),Horsepower,Horsepower RPM,Torque,Torque RPM,Cylinders,Base engine size,First Gear Ratio,Second Gear Ratio,Third Gear Ratio,Fourth Gear Ratio,Fifth Gear Ratio,Sixth Gear Ratio,Seventh Gear Ratio,Eighth Gear Ratio,Final Drive Axle Ratio,Reverse Ratio,Front Suspension Type,Rear Suspension Type,Front Brake Rotor Diameter,Rear Brake Rotor Diameter,Front Tire Size,Rear Tire Size,Front Wheel Diameter,Rear Wheel Diameter,Front Wheel Width,Rear Wheel Width,Rear Tire Size.1,Spare Tire Size,Front Wheel Material,Rear Wheel Material,Spare Wheel Material,Curb weight,Fuel tank capacity,Length,Width,Height,Wheelbase,Front track,Rear track,Turning circle,Front head room,Front leg room,Front shoulder room,Front hip room,Rear head room,Rear leg room,Rear shoulder room,Rear hip room,4WD,AWD,FWD,RWD,Diesel,Electric,Flex Fuel,Gas,Hybrid,					Rear Disc Brakes,					Rear Drum Brakes
11,54100.0,Audi,A6,2019,4,5,Transmission: 7-Speed Stronic,5.0,24.295010845986983,335.0,5000.0,369.0,1370.0,6.0,3.0,3.19,2.19,1.52,1.06,0.74,0.51,0.39,0.66,4.41,2.75,Multi-Link,Multi-Link,14.8,13.8,P245/45HR19,P245/45HR19,19.0,19.0,8.0,8.0,P245/45HR19,Compact,Aluminum,Aluminum,Steel,3613.88,18.463162393162396,194.5,74.3,57.4,115.1,64.2,63.7,40.0,39.46846708746619,42.19028105167724,57.727636861313876,55.75060643564357,38.000994923857874,36.519989959839364,56.05663959390863,54.273859649122805,0,1,0,0,0,0,0,1,0,1,0
12,68000.0,Audi,A7,2019,4,5,Transmission: 7-Speed Automatic w/S tronic,5.53,25.0,335.0,5000.0,369.0,1370.0,6.0,3.0,3.19,2.19,1.52,1.06,0.74,0.51,0.39,0.66,4.41,2.75,Multi-Link,Multi-Link,14.8,13.8,P245/45HR19,P245/45HR19,19.0,19.0,8.0,8.0,P245/45HR19,Compact,Aluminum,Aluminum,Steel,4001.0,18.463162393162396,195.6,75.1,56.0,115.2,65.0,64.4,40.0,39.46846708746619,42.19028105167724,57.727636861313876,55.75060643564357,38.000994923857874,36.519989959839364,56.05663959390863,54.273859649122805,0,1,0,0,0,0,0,1,0,1,0
13,83800.0,Audi,A8 L,2019,4,5,Transmission: 8-Speed Auto w/Tiptronic,5.82,22.0,335.0,5000.0,369.0,1370.0,6.0,3.0,4.71,3.14,2.11,1.67,1.28,1.0,0.84,0.67,3.08,3.32,Multi-Link,Multi-Link,15.0,14.0,P255/45HR19,P255/45HR19,19.0,19.0,9.0,9.0,P255/45HR19,Compact,Aluminum,Aluminum,Aluminum,4288.0,21.7,208.8,76.6,58.6,123.6,64.8,64.3,42.3,41.4,42.19028105167724,59.1,62.3,39.2,36.519989959839364,57.6,61.1,0,1,0,0,0,0,0,1,0,1,0
14,42950.0,Audi,Q5,2019,4,5,Transmission: 7-Speed S tronic Dual-Clutch Auto,6.06,24.0,252.0,5000.0,273.0,1600.0,4.0,2.0,3.19,2.19,1.52,1.06,0.74,0.51,0.39,0.66,5.3,2.75,Multi-Link,Multi-Link,13.3,13.0,P235/55HR19,P235/55HR19,20.0,20.0,8.0,8.0,P235/55HR19,Compact,Aluminum,Aluminum,Steel,4045.0,18.5,183.6,74.5,65.3,111.0,63.6,63.3,38.4,41.7,40.9,57.7,55.75060643564357,39.3,37.8,56.5,54.273859649122805,0,1,0,0,0,0,0,1,0,1,0
15,53550.0,Audi,Q7,2019,4,7,Transmission: 8-Speed Automatic w/Tiptronic,7.72,21.0,252.0,5000.0,273.0,1600.0,4.0,2.0,4.71,3.14,2.11,1.67,1.28,1.0,0.84,0.67,3.5,3.32,Double Wishbone,Multi-Link,14.8,13.8,P255/60HR18,P255/60HR18,18.0,18.0,8.5,8.5,P255/60HR18,,Aluminum,Aluminum,,4696.0,22.5,199.6,77.5,68.5,117.9,66.1,66.6,40.7,38.4,41.7,59.5,55.75060643564357,38.8,38.8,58.5,54.273859649122805,0,1,0,0,0,0,0,1,0,1,0
16,67400.0,Audi,Q8,2019,4,5,Transmission: 8-Speed Automatic w/Tiptronic,5.6,19.0,335.0,5000.0,369.0,1370.0,6.0,3.0,4.71,3.14,2.11,1.67,1.28,1.0,0.84,0.67,3.8,3.32,Double Wishbone,Multi-Link,14.8,13.8,P285/40YR22,P285/40YR22,20.0,20.0,9.0,9.0,P285/40YR22,Compact,Aluminum,Aluminum,Steel,3823.02,18.463162393162396,187.02,74.05,62.47808970099668,112.41437086092715,62.57762002042901,62.647875383043925,38.32634877384196,39.46846708746619,42.19028105167724,57.727636861313876,55.75060643564357,38.000994923857874,36.519989959839364,56.05663959390863,54.273859649122805,0,1,0,0,0,0,0,1,0,1,0
17,56200.0,Audi,RS 3,2019,4,5,Transmission: S Tronic 7-Speed Automatic,4.46,20.0,400.0,5850.0,354.0,1700.0,5.0,2.5,3.56,2.53,1.68,1.02,0.79,0.76,0.64,0.66,4.06,2.79,Strut,Multi-Link,14.6,12.2,P235/35YR19,P235/35YR19,19.0,19.0,8.0,8.0,P235/35YR19,,Aluminum,Aluminum,,3593.0,14.5,176.3,70.7,55.0,103.6,61.4,60.2,36.1,39.6,41.2,54.8,55.75060643564357,36.4,35.1,53.0,54.273859649122805,0,1,0,0,0,0,0,1,0,1,0
18,74200.0,Audi,RS 5 Coupe,2019,2,4,Transmission: 8-Speed Tiptronic Automatic,4.18,21.0,444.0,5700.0,443.0,1900.0,6.0,2.9,5.0,3.2,2.14,1.72,1.31,1.0,0.82,0.64,3.2,3.48,Multi-Link,Multi-Link,13.8,13.0,P265/35YR19,P265/35YR19,19.0,19.0,9.0,9.0,P265/35YR19,Compact,Forged Aluminum,Forged Aluminum,Steel,3649.0,15.3,185.9,73.3,53.5,108.9,62.9,62.5,38.4,39.0,41.3,55.3,55.75060643564357,38.000994923857874,32.7,50.7,54.273859649122805,0,1,0,0,0,0,0,1,0,1,0
19,44500.0,Audi,S3,2019,4,5,Transmission: S Tronic 7-Speed Automatic,5.5,26.0,292.0,5400.0,280.0,1900.0,4.0,2.0,3.56,2.53,1.68,1.02,0.79,0.76,0.64,0.66,4.77,2.79,Strut,Multi-Link,13.4,12.2,P225/40YR18,P225/40YR18,18.0,18.0,8.0,8.0,P225/40YR18,Compact,Aluminum,Aluminum,Steel,3462.0,14.5,175.8,70.7,54.8,103.6,61.1,60.1,36.1,36.5,41.2,54.8,55.75060643564357,36.1,35.1,53.0,54.273859649122805,0,1,0,0,0,0,0,1,0,1,0
20,50200.0,Audi,S4,2019,4,5,Transmission: 8-Speed Automatic Tiptronic,5.16,24.0,354.0,5400.0,369.0,1370.0,6.0,3.0,4.71,3.14,2.11,1.67,1.28,1.0,0.84,0.67,2.85,3.32,Multi-Link,Multi-Link,13.8,13.1,P245/40YR18,P245/40YR18,18.0,18.0,8.5,8.5,P245/40YR18,Compact,Aluminum,Aluminum,Steel,3858.0,15.3,186.8,72.5,55.3,111.2,61.6,60.9,38.1,38.9,41.3,55.9,55.75060643564357,37.4,35.7,54.5,54.273859649122805,0,1,0,0,0,0,0,1,0,1,0
21,65100.0,Audi,S5 Cabriolet,2019,2,4,Transmission: 8-Speed Tiptronic Automatic -inc: shift paddles,5.51,25.0,354.0,5400.0,369.0,1370.0,6.0,3.0,4.71,3.14,2.11,1.67,1.28,1.0,0.84,0.67,2.85,3.32,Multi-Link,Multi-Link,13.8,13.0,P245/40YR18,P245/40YR18,18.0,18.0,8.5,8.5,P245/40YR18,Compact,Aluminum,Aluminum,Steel,4211.0,15.3,184.7,72.7,54.4,108.9,62.5,61.7,37.7,40.0,41.3,55.3,55.75060643564357,36.3,33.3,46.9,54.273859649122805,0,1,0,0,0,0,0,1,0,1,0
22,52400.0,Audi,S5 Coupe,2019,2,4,Transmission: 8-Speed Tiptronic Automatic,5.14,24.0,354.0,5400.0,369.0,1370.0,6.0,3.0,4.71,3.14,2.11,1.67,1.28,1.0,0.84,0.67,2.85,3.32,Multi-Link,Multi-Link,13.8,13.0,P245/40YR18,P245/40YR18,18.0,18.0,8.5,8.5,P245/40YR18,Compact,Aluminum,Aluminum,Steel,3836.0,15.3,184.7,72.7,53.9,108.8,62.5,61.7,37.7,39.0,41.3,55.3,55.75060643564357,38.000994923857874,32.7,50.7,54.273859649122805,0,1,0,0,0,0,0,1,0,1,0
23,52400.0,Audi,S5 Sportback,2019,4,5,Transmission: 8-Speed Tiptronic Automatic,5.23,21.0,354.0,5400.0,369.0,1370.0,6.0,3.0,4.71,3.14,2.11,1.67,1.28,1.0,0.84,0.67,2.85,3.32,Multi-Link,Multi-Link,13.8,13.0,P245/40YR18,P245/40YR18,18.0,18.0,8.5,8.5,P245/40YR18,Compact,Aluminum,Aluminum,Steel,3924.0,15.3,187.1,72.6,54.5,111.2,62.5,61.7,38.4,39.4,41.3,55.7,55.75060643564357,38.000994923857874,35.1,54.5,54.273859649122805,0,1,0,0,0,0,0,1,0,1,0
24,52400.0,Audi,SQ5,2019,4,5,Transmission: 8-Speed Tiptronic Automatic,5.69,21.0,354.0,5400.0,369.0,1370.0,6.0,3.0,4.71,3.14,2.11,1.67,1.28,1.0,0.84,0.67,3.2,3.32,Multi-Link,Multi-Link,13.8,13.0,P255/45WR20,P255/45WR20,20.0,20.0,8.0,8.0,P255/45WR20,Compact,Aluminum,Aluminum,Steel,4398.0,18.5,183.9,74.5,65.3,111.2,63.9,63.6,38.4,41.7,41.0,57.7,55.75060643564357,39.3,37.8,56.5,54.273859649122805,0,1,0,0,0,0,0,1,0,1,0
25,41100.0,BMW,2-Series,2019,2,4,Transmission: 8-Speed Sport Automatic,6.79,27.0,248.0,5200.0,258.0,1450.0,4.0,2.0,5.0,3.2,2.14,1.72,1.31,1.0,0.82,0.64,2.81,3.46,Strut,Multi-Link,12.3,11.4,P205/50HR17,P205/50HR17,17.0,17.0,7.5,7.5,P205/50HR17,,Aluminum,Aluminum,,3680.0,13.7,174.7,69.8,55.6,105.9,59.9,61.3,35.8,40.5,41.5,54.4,55.75060643564357,37.0,31.8,42.2,54.273859649122805,0,0,0,1,0,0,0,1,0,1,0
26,45400.0,BMW,3-Series,2019,4,5,,7.12,27.0,248.0,5200.0,258.0,1450.0,4.0,2.0,4.71,3.14,2.11,1.67,1.28,1.0,0.84,0.67,3.08,3.29,Strut,Multi-Link,12.3,11.8,P225/45VR18,P225/45VR18,18.0,18.0,8.0,8.0,P225/45VR18,,Aluminum,Aluminum,,3915.0,15.8,190.0,72.0,59.4,115.0,60.7,62.4,38.7,41.3,42.0,55.2,55.75060643564357,38.3,39.2,54.1,54.273859649122805,0,1,0,0,0,0,0,1,0,1,0
