,Price,Make,Model,Year,Passenger Doors,Passenger Capacity,Transmission,Drive type,0-60 mph,EPA mileage (combined),Horsepower,Horsepower RPM,Torque,Torque RPM,Cylinders,Base engine size,Engine type,Transmission,First Gear Ratio,Second Gear Ratio,Third Gear Ratio,Fourth Gear Ratio,Fifth Gear Ratio,Sixth Gear Ratio,Seventh Gear Ratio,Eighth Gear Ratio,Final Drive Axle Ratio,Reverse Ratio,Front Suspension Type,Rear Suspension Type,Front Brakes,Rear Brakes,Front Brake Rotor Diameter,Rear Brake Rotor Diameter,Rear Drum Brake Dimensions,Brake Type,ABS Brakes Type,Front Tire Size,Rear Tire Size,Front Wheel Diameter,Rear Wheel Diameter,Front Wheel Width,Rear Wheel Width,Rear Tire Size,Spare Tire Size,Front Wheel Material,Rear Wheel Material,Spare Wheel Material,TPMS,Curb weight,Fuel tank capacity,Dead Weight Hitch - Max Tongue Weight,Dead Weight Hitch - Max Trailer Weight,Max Trailering Capacity,Weight Distributing Hitch - Max Tongue Weight,Weight Distributing Hitch - Max Trailer Weight,Length,Width,Height,Wheelbase,Front track,Rear track,Ground clearance,Turning circle,Front head room,Front leg room,Front shoulder room,Front hip room,Rear head room,Rear leg room,Rear shoulder room,Rear hip room,3rd Row Head Room,3rd Row Leg Room,3rd Row Shoulder Room,3rd Row Hip Room
10,,Ram,Promaster Cargo Van,2016,,, 6-speed automatic, Front wheel drive,7.97 sec,,280 hp,"6,400",260 ft-lbs.,"4,175",6,3.60 L,					Gas, 6-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,628 lbs.",24.00 gal.,,,,,,195.00 in.,82.70,90.00 in.,118.00 in.,,,6.90 in.,36.30 ft.,,,,,,,,,,,,
11,"$20,306",Ram,Promaster City,2016,4,2,Transmission: 9-Speed 948TE Automatic,Front Wheel Drive,,24 mpg,178 hp,"6,400",174 ft-lbs.,"3,900",4,2.40 L,					Gas,Transmission: 9-Speed 948TE Automatic,4.70,2.84,1.90,1.38,1.00,0.80,0.69,0.58,,3.81,Strut,Multi-Link,					Front Disc Brakes,					Rear Drum Brakes,12.00 in.,10.00 in.,10 in.,					ABS Brakes,4-Wheel,P215/55SR16,P215/55SR16,16.00 in.,16.00 in.,6.50 in.,6.50 in.,P215/55SR16,NA,Steel,Steel,NA,					Tire Pressure Monitor,,16.10 gal.,200 lbs,"2,000 lbs","2,000 lbs",200 lbs,"2,000 lbs",,72.10,74.00 in.,122.40 in.,,,,42.00 ft.,46.00 in.,40.80 in.,59.30 in.,54.10 in.,,,,,,,,
12,"$31,002",Ram,Promaster Window Van,2016,,, 6-speed automatic, Front wheel drive,8.94 sec,,280 hp,"6,400",260 ft-lbs.,"4,175",6,3.60 L,					Gas, 6-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400 lbs.",24.00 gal.,,,,,,236.00 in.,82.70,101.00 in.,159.00 in.,,,6.90 in.,46.80 ft.,,,,,,,,,,,,
13,"$271,350",Rolls-Royce,Dawn,2016,2,4,Transmission: 8-Speed Automatic -inc: Electronically controlled,Rear Wheel Drive,5.06 sec,14 mpg,563 hp,"5,250",575 ft-lbs.,"1,500",12,6.60 L,					Gas,Transmission: 8-Speed Automatic -inc: Electronically controlled,4.72,3.14,2.11,1.67,1.28,1.00,0.84,0.67,2.81,3.32,Double Wishbone,Multi-Link,					Front Disc Brakes,					Rear Disc Brakes,14.70 in.,14.60 in.,NA in.,					ABS Brakes,4-Wheel,P255/45YR20,P285/40YR20,20.00 in.,20.00 in.,8.50 in.,9.50 in.,P285/40YR20,NA,Aluminum,Aluminum,NA,					Tire Pressure Monitor,"5,644 lbs.",21.70 gal.,,,,,,208.50 in.,76.70,59.10 in.,122.50 in.,63.70 in.,65.50 in.,,41.70 ft.,40.10 in.,41.50 in.,59.00 in.,,37.90 in.,36.90 in.,53.10 in.,,,,,
14,"$266,753",Rolls-Royce,Ghost,2016,4,5,Transmission: 8-Speed Automatic,Rear Wheel Drive,5.00 sec,15 mpg,563 hp,"5,250",575 ft-lbs.,"1,500",12,6.60 L,					Gas,Transmission: 8-Speed Automatic,4.72,3.14,2.11,1.67,1.28,1.00,0.84,0.67,2.81,3.32,Double Wishbone,Multi-Link,					Front Disc Brakes,					Rear Disc Brakes,16.10 in.,15.80 in.,NA in.,					ABS Brakes,4-Wheel,P255/50YR19,P255/50YR19,19.00 in.,19.00 in.,8.50 in.,8.50 in.,P255/50YR19,NA,Aluminum,Aluminum,NA,					Tire Pressure Monitor,"5,556 lbs.",21.80 gal.,,,,,,219.30 in.,76.70,61.00 in.,136.40 in.,63.90 in.,65.40 in.,,45.90 ft.,40.60 in.,41.70 in.,59.40 in.,,39.00 in.,49.00 in.,55.80 in.,,,,,
15,,Rolls-Royce,Ghost Series II,2016,,, 8-speed automatic, Rear wheel drive,4.96 sec,,563 hp,"5,250",575 ft-lbs.,"1,500",12,6.60 L,					Gas, 8-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,490 lbs.",21.80 gal.,,,,,,212.60 in.,76.70,61.00 in.,129.70 in.,,,,44.00 ft.,40.60 in.,41.70 in.,59.40 in.,,39.00 in.,42.30 in.,55.80 in.,,,,,
16,"$364,115",Rolls-Royce,Phantom,2016,2,4,Transmission: 8 Speed Automatic 8HP70 -inc: Mode select,Rear Wheel Drive,5.99 sec,14 mpg,453 hp,"5,350",531 ft-lbs.,"3,500",12,6.80 L,					Gas,Transmission: 8 Speed Automatic 8HP70 -inc: Mode select,4.71,3.14,2.11,1.67,1.28,1.00,0.84,0.67,3.15,3.32,Double Wishbone,Multi-Link,					Front Disc Brakes,					Rear Disc Brakes,14.70 in.,14.60 in.,NA in.,					ABS Brakes,4-Wheel,P255/50ZR21,P285/45ZR21,21.00 in.,21.00 in.,8.00 in.,9.50 in.,P285/45ZR21,NA,Aluminum,Aluminum,NA,					Tire Pressure Monitor,"5,688 lbs.",26.40 gal.,,,,,,220.90 in.,78.20,62.90 in.,130.70 in.,66.40 in.,65.80 in.,,43.00 ft.,38.60 in.,,58.70 in.,61.50 in.,37.10 in.,,51.10 in.,49.80 in.,,,,
17,,Rolls-Royce,Phantom Coupe,2016,,, 8-speed automatic, Rear wheel drive,6.07 sec,,453 hp,"5,350",531 ft-lbs.,"3,500",12,6.70 L,					Gas, 8-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,795 lbs.",26.40 gal.,,,,,,220.90 in.,78.20,62.90 in.,130.70 in.,,,,43.00 ft.,40.20 in.,40.90 in.,58.70 in.,,37.10 in.,36.90 in.,51.10 in.,,,,,
18,,Rolls-Royce,Phantom Drophead Coupe,2016,,, 8-speed automatic, Rear wheel drive,6.23 sec,,453 hp,"5,350",531 ft-lbs.,"3,500",12,6.70 L,					Gas, 8-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,995 lbs.",21.10 gal.,,,,,,220.90 in.,78.20,61.70 in.,130.70 in.,,,,43.00 ft.,40.40 in.,40.90 in.,58.70 in.,,37.10 in.,36.90 in.,51.10 in.,,,,,
19,"$246,523",Rolls-Royce,Wraith,2016,2,4,Transmission: ZF 8HP90 8-Speed Automatic,Rear Wheel Drive,4.52 sec,15 mpg,624 hp,"5,600",590 ft-lbs.,"1,500",12,6.60 L,					Gas,Transmission: ZF 8HP90 8-Speed Automatic,4.72,3.14,2.11,1.67,1.28,1.00,0.84,0.67,2.81,3.32,Double Wishbone,Multi-Link,					Front Disc Brakes,					Rear Disc Brakes,14.70 in.,14.60 in.,NA in.,					ABS Brakes,4-Wheel,P255/45YR20,P285/40YR20,20.00 in.,20.00 in.,8.50 in.,9.50 in.,P285/40YR20,NA,Aluminum,Aluminum,NA,					Tire Pressure Monitor,"5,380 lbs.",21.90 gal.,,,,,,207.90 in.,76.70,59.30 in.,122.50 in.,63.90 in.,65.70 in.,,41.70 ft.,39.40 in.,41.50 in.,59.00 in.,,37.00 in.,36.90 in.,54.70 in.,,,,,
