,Make,Model,Year,Passenger Doors,Passenger Capacity,Transmission,Drive type,0-60 mph,EPA mileage (combined),Horsepower,Horsepower RPM,Torque,Torque RPM,Cylinders,Base engine size,Engine type,Transmission,First Gear Ratio,Second Gear Ratio,Third Gear Ratio,Fourth Gear Ratio,Fifth Gear Ratio,Sixth Gear Ratio,Seventh Gear Ratio,Eighth Gear Ratio,Final Drive Axle Ratio,Reverse Ratio,Front Suspension Type,Rear Suspension Type,Front Brakes,Rear Brakes,Front Brake Rotor Diameter,Rear Brake Rotor Diameter,Rear Drum Brake Dimensions,Brake Type,ABS Brakes Type,Front Tire Size,Rear Tire Size,Front Wheel Diameter,Rear Wheel Diameter,Front Wheel Width,Rear Wheel Width,Rear Tire Size,Spare Tire Size,Front Wheel Material,Rear Wheel Material,Spare Wheel Material,TPMS,Curb weight,Fuel tank capacity,Dead Weight Hitch - Max Tongue Weight,Dead Weight Hitch - Max Trailer Weight,Max Trailering Capacity,Weight Distributing Hitch - Max Tongue Weight,Weight Distributing Hitch - Max Trailer Weight,Length,Width,Height,Wheelbase,Front track,Rear track,Ground clearance,Turning circle,Front head room,Front leg room,Front shoulder room,Front hip room,Rear head room,Rear leg room,Rear shoulder room,Rear hip room,3rd Row Head Room,3rd Row Leg Room,3rd Row Shoulder Room,3rd Row Hip Room
10,Aston Martin,DB11,2018,2,4,Transmission: 8-Speed Automatic -inc: Rear mid-mounted gearbox w/electronic shift-by-wire control system,Rear Wheel Drive,3.78 sec,,600 hp,"6,500",516 ft-lbs.,"1,500",12,5.20 L,					Gas,Transmission: 8-Speed Automatic -inc: Rear mid-mounted gearbox w/electronic shift-by-wire control system,4.71,3.14,2.11,1.67,1.28,1.00,0.84,0.66,2.70,3.32,Double Wishbone,Double Wishbone,					Front Disc Brakes,					Rear Disc Brakes,15.70 in.,14.20 in.,NA in.,					ABS Brakes,4-Wheel,P255/40YR20,P295/35YR20,20.00 in.,20.00 in.,9.00 in.,11.00 in.,P295/35YR20,Compact,Aluminum,Aluminum,Aluminum,					Tire Pressure Monitor,"4,080 lbs.",20.50 gal.,,,,,,186.60 in.,76.40,50.40 in.,110.40 in.,,,,,,,,,,,,,,,,
11,Aston Martin,Vanquish,2018,2,2,Transmission: Touchtronic III 8-Speed Automatic -inc: Mode select w/manual mode,Rear Wheel Drive,3.45 sec,,580 hp,"7,000",465 ft-lbs.,"5,500",12,6.00 L,					Gas,Transmission: Touchtronic III 8-Speed Automatic -inc: Mode select w/manual mode,4.71,3.14,2.11,1.67,1.28,1.00,0.84,0.66,3.46,3.32,Double Wishbone,Double Wishbone,					Front Disc Brakes,					Rear Disc Brakes,15.70 in.,14.20 in.,NA in.,					ABS Brakes,4-Wheel,P255/35YR20,P305/30YR20,20.00 in.,20.00 in.,9.00 in.,11.50 in.,P305/30YR20,Compact,Aluminum,Aluminum,Aluminum,					Tire Pressure Monitor,"3,834 lbs.",20.60 gal.,,,,,,186.20 in.,75.20,51.00 in.,107.90 in.,,,,41.00 ft.,36.20 in.,42.70 in.,54.80 in.,,,,,,,,,
12,Aston Martin,Vanquish S,2018,,, 8-speed shiftable automatic, Rear wheel drive,3.70 sec,,580 hp,"7,000",465 ft-lbs.,"5,500",12,5.90 L,					Gas, 8-speed shiftable automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,834 lbs.",20.50 gal.,,,,,,186.20 in.,75.20,51.00 in.,107.90 in.,,,,,,,,,,,,,,,,
13,Aston Martin,Vantage,2018,2,2,Transmission: ZF 8-Speed Automatic -inc: Rear mid-mounted,Rear Wheel Drive,,,503 hp,"6,000",505 ft-lbs.,"2,000",8,4.00 L,					Gas,Transmission: ZF 8-Speed Automatic -inc: Rear mid-mounted,4.71,3.14,2.11,1.67,1.28,1.00,0.84,0.66,2.93,3.32,Double Wishbone,Multi-Link,					Front Disc Brakes,					Rear Disc Brakes,15.70 in.,14.20 in.,NA in.,					ABS Brakes,4-Wheel,P255/40YR20,P295/35YR20,20.00 in.,20.00 in.,8.50 in.,9.50 in.,P295/35YR20,Compact,Aluminum,Aluminum,Aluminum,					Tire Pressure Monitor,,19.30 gal.,,,,,,175.80 in.,76.50,50.10 in.,106.50 in.,,,,,,,,,,,,,,,,
14,Audi,A3,2018,,, 6-speed automated manual, All wheel drive,6.18 sec,,220 hp,"4,500",258 ft-lbs.,"1,600",4,2.00 L,					Gas, 6-speed automated manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,627 lbs.",14.50 gal.,,,,,,174.10 in.,,55.50 in.,102.20 in.,,,,36.10 ft.,37.40 in.,41.20 in.,54.80 in.,,36.30 in.,31.90 in.,45.70 in.,,,,,
15,Audi,A3 Cabriolet,2018,2,4,,Front Wheel Drive,,28 mpg,186 hp,"4,400",221 ft-lbs.,"1,600",4,2.00 L,					Gas,,3.40,2.75,1.77,0.93,0.70,0.76,0.64,,4.77,2.90,Strut,Multi-Link,					Front Disc Brakes,					Rear Disc Brakes,12.30 in.,10.70 in.,NA in.,					ABS Brakes,4-Wheel,P225/45HR17,P225/45HR17,17.00 in.,17.00 in.,7.50 in.,7.50 in.,P225/45HR17,Compact,Aluminum,Aluminum,Steel,					Tire Pressure Monitor,"3,428 lbs.",13.20 gal.,,,,,,174.10 in.,,55.50 in.,102.20 in.,61.20 in.,60.10 in.,,36.10 ft.,37.40 in.,41.20 in.,54.80 in.,,36.30 in.,31.90 in.,45.70 in.,,,,,
16,Audi,A3 Sedan,2018,4,5,,Front Wheel Drive,,29 mpg,186 hp,"4,400",221 ft-lbs.,"1,600",4,2.00 L,					Gas,,3.40,2.75,1.77,0.93,0.70,0.76,0.64,,4.77,2.90,Strut,Multi-Link,					Front Disc Brakes,					Rear Disc Brakes,12.30 in.,10.70 in.,NA in.,					ABS Brakes,4-Wheel,P225/45HR17,P225/45HR17,17.00 in.,17.00 in.,7.50 in.,7.50 in.,P225/45HR17,Compact,Aluminum,Aluminum,Steel,					Tire Pressure Monitor,"3,197 lbs.",13.20 gal.,,,,,,175.50 in.,70.70,55.70 in.,103.80 in.,61.20 in.,60.10 in.,,36.10 ft.,39.60 in.,41.20 in.,54.80 in.,,36.40 in.,35.10 in.,53.00 in.,,,,,
17,Audi,A3 Sportback e-tron,2018,4,5,Transmission: S Tronic 6-Speed Automatic,Front Wheel Drive,8.40 sec,36 mpg,204 hp,"5,000",258 ft-lbs.,,4,1.40 L,					Gas,Transmission: S Tronic 6-Speed Automatic,3.50,2.77,1.85,1.02,1.02,0.84,,,3.75,2.86,Strut,Multi-Link,					Front Disc Brakes,					Rear Disc Brakes,12.30 in.,10.70 in.,NA in.,					ABS Brakes,4-Wheel,P225/45HR17,P225/45HR17,17.00 in.,17.00 in.,7.50 in.,7.50 in.,P225/45HR17,NA,Aluminum,Aluminum,NA,					Tire Pressure Monitor,"3,616 lbs.",10.60 gal.,,,,,,169.70 in.,70.30,56.10 in.,103.50 in.,60.70 in.,59.60 in.,,35.80 ft.,38.70 in.,41.20 in.,54.80 in.,,37.50 in.,35.40 in.,52.90 in.,,,,,
18,Audi,A4,2018,4,5,Transmission: 6-Speed Manual -inc: ultra technology,All Wheel Drive,5.86 sec,27 mpg,252 hp,"5,000",273 ft-lbs.,"1,600",4,2.00 L,					Gas,Transmission: 6-Speed Manual -inc: ultra technology,3.78,2.04,1.28,0.94,0.78,0.67,,,3.56,3.33,Multi-Link,Multi-Link,					Front Disc Brakes,					Rear Disc Brakes,13.30 in.,13.00 in.,NA in.,					ABS Brakes,4-Wheel,P225/50HR17,P225/50HR17,17.00 in.,17.00 in.,7.50 in.,7.50 in.,P225/50HR17,Compact,Aluminum,Aluminum,Steel,					Tire Pressure Monitor,"3,582 lbs.",15.30 gal.,,,,,,186.10 in.,72.50,56.20 in.,111.00 in.,61.90 in.,61.20 in.,,38.10 ft.,38.90 in.,41.30 in.,55.90 in.,,37.40 in.,35.70 in.,54.50 in.,,,,,
19,Audi,A4 allroad,2018,4,5,"Transmission: 7-Speed S tronic Dual-Clutch Auto -inc: ultra technology, sport program and manual shift mode",All Wheel Drive,5.81 sec,25 mpg,252 hp,"5,000",273 ft-lbs.,"1,600",4,2.00 L,					Gas,"Transmission: 7-Speed S tronic Dual-Clutch Auto -inc: ultra technology, sport program and manual shift mode",3.19,2.19,1.52,1.06,0.74,0.51,0.39,,4.41,2.75,Multi-Link,Multi-Link,					Front Disc Brakes,					Rear Disc Brakes,13.30 in.,13.00 in.,NA in.,					ABS Brakes,4-Wheel,P245/45HR18,P245/45HR18,18.00 in.,18.00 in.,7.50 in.,7.50 in.,P245/45HR18,Compact,Aluminum,Aluminum,Steel,					Tire Pressure Monitor,"3,825 lbs.",15.30 gal.,,,,,,187.00 in.,72.50,58.80 in.,110.90 in.,62.10 in.,61.70 in.,6.50 in.,38.10 ft.,39.20 in.,41.30 in.,55.90 in.,,37.40 in.,35.70 in.,54.50 in.,,,,,
